PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,rang_sozial,belastung_rang
Wriezener Bahnhof,Friedrichshain-Kreuzberg,95.2,99.8,93.0,288.0
Glasower Straße,Neukölln,91.7,92.3,98.3,282.3
Huttenkiez,Mitte,84.9,98.7,93.4,277.0
Helle Mitte,Marzahn-Hellersdorf,93.9,100.0,77.3,271.2
Schulenburgpark,Neukölln,81.0,88.0,99.8,268.8
Weiße Siedlung,Neukölln,80.1,82.7,99.6,262.4
Donaustraße,Neukölln,78.0,87.8,96.5,262.3
Heidestraße,Mitte,88.7,99.1,74.5,262.3
Kosmos Viertel,Treptow-Köpenick,82.1,93.9,85.2,261.2
Schillerpromenade Süd,Neukölln,76.2,94.1,89.5,259.8
Reinickes Hof,Reinickendorf,94.1,87.3,78.2,259.6
Schöneberger Linse,Tempelhof-Schöneberg,99.8,99.4,59.6,258.8
Rosenbecker Straße,Marzahn-Hellersdorf,84.7,91.1,80.1,255.9
Schumacher-Quartier,Reinickendorf,93.5,96.7,65.3,255.5
Paradestraße,Tempelhof-Schöneberg,99.4,98.5,54.1,252.0
Feurigstraße,Tempelhof-Schöneberg,86.9,92.8,71.6,251.3
Hauptstraße,Lichtenberg,89.3,93.4,67.7,250.4
Mehringplatz,Friedrichshain-Kreuzberg,72.3,79.3,97.8,249.4
Flughafenstraße,Neukölln,68.6,84.7,95.9,249.2
Marzahn West,Marzahn-Hellersdorf,76.6,86.5,84.1,247.2
Kölner Viertel,Treptow-Köpenick,98.3,95.4,53.3,247.0
Gesundbrunnen,Mitte,78.4,80.3,87.5,246.2
Freiheit,Spandau,77.3,88.4,80.4,246.1
Körnerstraße,Mitte,77.1,80.1,87.1,244.3
Malchower Weg,Lichtenberg,97.4,89.7,57.0,244.1
Spreestadt,Charlottenburg-Wilmersdorf,68.3,95.9,79.0,243.2
Borsigwalde,Reinickendorf,95.4,90.6,56.1,242.1
Fritz-Werner-Straße,Tempelhof-Schöneberg,91.3,86.9,63.8,242.0
Buckow Ost,Neukölln,92.4,76.8,72.3,241.5
Ganghoferstraße,Neukölln,74.9,76.2,90.2,241.3
Marienfelde Nordost,Tempelhof-Schöneberg,96.1,95.8,49.1,241.0
Beusselkiez,Mitte,71.6,74.4,93.5,239.5
Vogelviertel Nord,Neukölln,95.8,84.3,58.3,238.4
Frauenviertel,Neukölln,92.3,96.1,49.6,238.0
Scharnweberstraße,Reinickendorf,84.3,68.6,84.7,237.6
Am Berlin Museum,Friedrichshain-Kreuzberg,69.4,69.9,98.0,237.3
Alt-Rudow,Neukölln,97.2,89.1,50.9,237.2
Westliche Müllerstraße,Mitte,76.8,74.5,84.3,235.6
Velodrom,Pankow,86.2,91.0,57.9,235.1
Karow Nord,Pankow,94.8,95.0,43.2,233.0
Borkumer Straße,Spandau,85.1,87.1,60.5,232.7
Richard-Wagner-Straße,Charlottenburg-Wilmersdorf,81.2,81.2,69.9,232.3
Alt-Marzahn,Marzahn-Hellersdorf,93.7,83.2,55.0,231.9
Gewerbegebiet Bitterfelder Straße,Marzahn-Hellersdorf,71.0,69.2,91.5,231.7
Alt-Rixdorf,Neukölln,73.1,68.1,90.4,231.6
Maulbeerallee,Spandau,68.8,63.3,99.4,231.5
Stralauer Kiez,Friedrichshain-Kreuzberg,89.1,97.8,44.5,231.4
Wilhelmstadt West,Spandau,81.5,72.9,75.6,230.0
Vogelviertel Süd,Neukölln,93.4,83.0,53.0,229.4
Humboldthain Nordwest,Mitte,61.1,71.0,97.2,229.3
Zossener Straße,Marzahn-Hellersdorf,53.7,81.5,93.9,229.1
Spandauer Straße,Spandau,92.1,85.1,51.8,229.0
Bornitzstraße,Lichtenberg,93.2,94.5,40.6,228.3
Jahnstraße,Neukölln,62.2,73.8,92.1,228.1
Töpchiner Weg,Tempelhof-Schöneberg,99.1,88.2,39.9,227.2
Griechischer Park,Treptow-Köpenick,70.3,92.4,64.4,227.1
Hohenfriedbergstraße,Tempelhof-Schöneberg,77.5,89.9,59.4,226.8
Kyritzer Straße,Marzahn-Hellersdorf,70.8,82.3,73.6,226.7
Buckow Mitte,Neukölln,87.6,79.0,60.1,226.7
Landschaftspark Adlershof,Treptow-Köpenick,98.0,98.2,30.1,226.3
Ortolanweg,Neukölln,55.5,77.5,92.3,225.3
Staakener Straße,Spandau,98.5,93.5,33.2,225.2
An der Kappe,Spandau,91.9,83.9,49.3,225.1
Traveplatz,Friedrichshain-Kreuzberg,87.1,85.2,52.6,224.9
Neue Grottkauer Straße,Marzahn-Hellersdorf,63.3,76.4,85.1,224.8
Treptower Straße Nord,Neukölln,65.3,60.7,98.7,224.7
Samariterviertel,Friedrichshain-Kreuzberg,85.2,96.9,42.4,224.5
Lützowstraße,Mitte,69.9,71.2,82.8,223.9
Eiswerder,Spandau,43.2,93.7,86.9,223.8
Ernst-Reuter-Platz,Charlottenburg-Wilmersdorf,66.4,81.9,75.3,223.6
Leopoldplatz,Mitte,56.6,69.6,97.4,223.6
Schorfheidestraße,Reinickendorf,99.3,86.3,36.9,222.5
Rathaus Weißensee,Pankow,88.9,76.9,56.6,222.4
Wilhelmstraße,Mitte,88.6,98.9,34.1,221.6
Mohriner Allee Nord,Neukölln,89.9,84.1,47.4,221.4
John-Locke-Straße,Tempelhof-Schöneberg,87.5,62.7,71.0,221.2
Alexanderplatzviertel,Mitte,84.1,97.6,39.3,221.0
Frobenstraße,Tempelhof-Schöneberg,66.1,66.6,88.2,220.9
Leipziger Straße,Mitte,87.3,98.0,35.4,220.7
