PLR_NAME,BEZ_NAME,gruen_gvz,rang_gruen,esix_wert,rang_sozial
Hasenheide,Neukölln,7.158,6.8,-3.483,100.0
Schulenburgpark,Neukölln,1.788,88.0,-3.396,99.8
Weiße Siedlung,Neukölln,1.997,82.7,-3.304,99.6
Maulbeerallee,Spandau,2.532,63.3,-2.991,99.4
Wassertorplatz,Friedrichshain-Kreuzberg,3.9,23.6,-2.926,99.3
Rollberg,Neukölln,2.58,60.9,-2.686,99.1
Zillesiedlung,Mitte,4.278,18.6,-2.485,98.9
Treptower Straße Nord,Neukölln,2.581,60.7,-2.46,98.7
Rollbergesiedlung,Reinickendorf,2.937,48.2,-2.31,98.5
Glasower Straße,Neukölln,1.593,92.3,-2.301,98.3
Askanischer Platz,Friedrichshain-Kreuzberg,2.773,53.7,-2.221,98.2
Am Berlin Museum,Friedrichshain-Kreuzberg,2.354,69.9,-2.22,98.0
Mehringplatz,Friedrichshain-Kreuzberg,2.092,79.3,-2.199,97.8
Schulstraße,Mitte,3.143,42.6,-2.144,97.6
Leopoldplatz,Mitte,2.358,69.6,-2.143,97.4
Humboldthain Nordwest,Mitte,2.338,71.0,-2.123,97.2
Moritzplatz,Friedrichshain-Kreuzberg,3.231,38.9,-2.118,97.0
Prinzenstraße,Friedrichshain-Kreuzberg,4.319,18.3,-2.118,96.9
Körnerpark,Neukölln,4.3,18.5,-1.954,96.7
Donaustraße,Neukölln,1.788,87.8,-1.945,96.5
Silbersteinstraße,Neukölln,4.451,17.3,-1.851,96.3
Wartheplatz,Neukölln,5.074,12.9,-1.851,96.1
Flughafenstraße,Neukölln,1.944,84.7,-1.849,95.9
Kurstraße,Spandau,2.891,50.2,-1.836,95.8
Treuenbrietzener Straße,Reinickendorf,3.607,29.2,-1.798,95.6
Uferstraße,Mitte,3.155,42.1,-1.789,95.4
Antonstraße,Mitte,2.95,47.4,-1.789,95.2
Schwedenstraße,Mitte,2.867,51.3,-1.789,95.0
Westerwaldstraße,Spandau,3.306,37.1,-1.789,94.8
Drontheimer Straße,Mitte,2.824,52.2,-1.78,94.6
Koloniestraße,Mitte,2.809,52.4,-1.78,94.5
Soldiner Straße,Mitte,5.296,12.0,-1.78,94.3
Oranienplatz,Friedrichshain-Kreuzberg,3.158,41.9,-1.759,94.1
Zossener Straße,Marzahn-Hellersdorf,2.034,81.5,-1.739,93.9
Brunnenstraße,Mitte,2.582,60.5,-1.738,93.7
Beusselkiez,Mitte,2.227,74.4,-1.736,93.5
Huttenkiez,Mitte,0.819,98.7,-1.732,93.4
Germaniagarten,Tempelhof-Schöneberg,2.464,65.3,-1.716,93.2
Wriezener Bahnhof,Friedrichshain-Kreuzberg,0.497,99.8,-1.712,93.0
Lübecker Straße,Mitte,2.962,47.0,-1.707,92.8
Gropiusstadt Mitte,Neukölln,5.222,12.4,-1.704,92.6
Gropiusstadt Süd-Ost,Neukölln,3.678,27.1,-1.704,92.4
Ortolanweg,Neukölln,2.126,77.5,-1.687,92.3
Jahnstraße,Neukölln,2.233,73.8,-1.654,92.1
Park am Buschkrug,Neukölln,2.671,57.4,-1.654,91.9
Klixstraße,Reinickendorf,2.731,55.0,-1.637,91.7
Gewerbegebiet Bitterfelder Straße,Marzahn-Hellersdorf,2.373,69.2,-1.63,91.5
Alvenslebenstraße,Tempelhof-Schöneberg,2.937,48.3,-1.62,91.3
Großgörschenstraße,Tempelhof-Schöneberg,3.513,31.0,-1.619,91.1
Rudolf-Wissell-Großsiedlung,Spandau,4.092,21.6,-1.618,91.0
Dannenwalder Weg,Reinickendorf,4.67,15.5,-1.576,90.8
Braunschweiger Straße,Neukölln,2.794,53.0,-1.561,90.6
Alt-Rixdorf,Neukölln,2.399,68.1,-1.561,90.4
Ganghoferstraße,Neukölln,2.178,76.2,-1.56,90.2
Pillnitzer Weg,Spandau,4.417,17.5,-1.537,90.0
Paul-Hertz-Siedlung,Charlottenburg-Wilmersdorf,4.034,22.3,-1.51,89.9
Schillerpromenade Nord,Neukölln,4.113,20.8,-1.504,89.7
Schillerpromenade Süd,Neukölln,1.461,94.1,-1.504,89.5
Hellersdorfer Promenade,Marzahn-Hellersdorf,3.194,40.4,-1.504,89.3
Gropiusstadt Nord-West,Neukölln,3.52,30.3,-1.487,89.1
Tiefwerder,Spandau,5.013,13.7,-1.447,88.9
Schlossgarten,Charlottenburg-Wilmersdorf,4.502,16.8,-1.426,88.7
Köpenicker Straße,Friedrichshain-Kreuzberg,2.717,55.4,-1.391,88.6
Lausitzer Platz,Friedrichshain-Kreuzberg,2.786,53.1,-1.39,88.4
Frobenstraße,Tempelhof-Schöneberg,2.443,66.6,-1.359,88.2
Kalckreuthstraße,Tempelhof-Schöneberg,2.696,56.5,-1.359,88.0
Sparrplatz,Mitte,2.653,58.1,-1.345,87.8
Nordufer,Mitte,2.488,64.4,-1.344,87.6
Gesundbrunnen,Mitte,2.071,80.3,-1.296,87.5
Zwinglistraße,Mitte,2.753,54.1,-1.279,87.3
Körnerstraße,Mitte,2.079,80.1,-1.264,87.1
Eiswerder,Spandau,1.476,93.7,-1.264,86.9
Hertzbergplatz,Neukölln,2.386,68.5,-1.259,86.7
Boulevard Kastanienallee,Marzahn-Hellersdorf,2.571,61.4,-1.252,86.5
Im Spektefeld,Spandau,2.87,51.1,-1.225,86.3
Böhlener Straße,Marzahn-Hellersdorf,5.009,14.0,-1.221,86.2
Nahariyastraße,Tempelhof-Schöneberg,3.351,34.7,-1.214,86.0
Tempelhofer Weg,Neukölln,2.685,56.6,-1.183,85.8
Märkisches Zentrum,Reinickendorf,3.757,25.1,-1.167,85.6
Zingster Straße West,Lichtenberg,3.191,40.6,-1.16,85.4
Kosmos Viertel,Treptow-Köpenick,1.466,93.9,-1.139,85.2
Neue Grottkauer Straße,Marzahn-Hellersdorf,2.172,76.4,-1.123,85.1
Germersheimer Platz,Spandau,2.75,54.2,-1.092,84.9
Scharnweberstraße,Reinickendorf,2.385,68.6,-1.081,84.7
Tegel Süd,Reinickendorf,5.049,13.1,-1.069,84.5
Westliche Müllerstraße,Mitte,2.223,74.5,-1.066,84.3
Marzahn West,Marzahn-Hellersdorf,1.842,86.5,-1.064,84.1
Falkenberg Ost,Lichtenberg,3.513,30.8,-1.038,83.9
Eckschanze,Spandau,2.702,56.3,-1.02,83.8
Bouchéstraße,Neukölln,3.085,44.1,-1.002,83.6
Reichenberger Straße West,Friedrichshain-Kreuzberg,2.563,62.0,-1.001,83.4
Breitkopfbecken,Reinickendorf,4.381,17.9,-0.986,83.2
Letteplatz,Reinickendorf,3.277,37.8,-0.976,83.0
Lützowstraße,Mitte,2.309,71.2,-0.967,82.8
Gartenfelder Straße,Spandau,2.969,46.7,-0.943,82.7
Magistratsweg,Spandau,3.272,38.0,-0.921,82.5
Reichenberger Straße Ost,Friedrichshain-Kreuzberg,3.576,29.5,-0.917,82.3
Volkspark Prenzlauer Berg,Pankow,3.732,25.6,-0.917,82.1
Hausotterplatz,Reinickendorf,3.515,30.4,-0.901,81.9
Kameruner Straße,Mitte,4.592,15.9,-0.89,81.7
Afrikanische Straße,Mitte,6.437,8.3,-0.89,81.5
Schillerpark,Mitte,5.5,11.3,-0.879,81.4
Glasgower Straße,Mitte,3.72,26.0,-0.879,81.2
Londoner Straße,Mitte,3.2,40.2,-0.879,81.0
Ackerstraße,Spandau,2.843,52.0,-0.878,80.8
