PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,hitze_gruen_score,rang_sozial
Alter Schlachthof,Pankow,100.0,99.6,199.6,8.1
Schöneberger Linse,Tempelhof-Schöneberg,99.8,99.4,199.2,59.6
Paradestraße,Tempelhof-Schöneberg,99.4,98.5,197.9,54.1
Landschaftspark Adlershof,Treptow-Köpenick,98.0,98.2,196.2,30.1
Krugpfuhl,Pankow,98.7,96.5,195.2,22.7
Wriezener Bahnhof,Friedrichshain-Kreuzberg,95.2,99.8,195.0,93.0
Helle Mitte,Marzahn-Hellersdorf,93.9,100.0,193.9,77.3
Weiße Taube,Lichtenberg,98.2,95.6,193.8,4.1
Kölner Viertel,Treptow-Köpenick,98.3,95.4,193.7,53.3
Dorf Falkenberg,Lichtenberg,96.3,96.3,192.6,18.8
Staakener Straße,Spandau,98.5,93.5,192.0,33.2
Marienfelde Nordost,Tempelhof-Schöneberg,96.1,95.8,191.9,49.1
Wista,Treptow-Köpenick,92.8,98.3,191.1,6.3
Schumacher-Quartier,Reinickendorf,93.5,96.7,190.2,65.3
Alt-Bohnsdorf,Treptow-Köpenick,96.7,93.2,189.9,15.7
Karow Nord,Pankow,94.8,95.0,189.8,43.2
Mahlsdorf Nord,Marzahn-Hellersdorf,99.6,88.9,188.5,7.6
Frauenviertel,Neukölln,92.3,96.1,188.4,49.6
Heidestraße,Mitte,88.7,99.1,187.8,74.5
Bornitzstraße,Lichtenberg,93.2,94.5,187.7,40.6
Nisbléstraße,Pankow,98.9,88.6,187.5,22.9
Wilhelmstraße,Mitte,88.6,98.9,187.5,34.1
Töpchiner Weg,Tempelhof-Schöneberg,99.1,88.2,187.3,39.9
Malchower Weg,Lichtenberg,97.4,89.7,187.1,57.0
Stralauer Kiez,Friedrichshain-Kreuzberg,89.1,97.8,186.9,44.5
Blankenburger Süden,Pankow,94.3,92.1,186.4,3.0
Alt-Rudow,Neukölln,97.2,89.1,186.3,50.9
Karow Ost,Pankow,94.5,91.7,186.2,4.6
Borsigwalde,Reinickendorf,95.4,90.6,186.0,56.1
Schorfheidestraße,Reinickendorf,99.3,86.3,185.6,36.9
Leipziger Straße,Mitte,87.3,98.0,185.3,35.4
Unter den Linden,Mitte,85.4,99.3,184.7,14.2
Isenburger Weg,Spandau,97.0,87.5,184.5,3.7
Glasower Straße,Neukölln,91.7,92.3,184.0,98.3
Am Heideberg,Spandau,97.8,85.8,183.6,24.9
Huttenkiez,Mitte,84.9,98.7,183.6,93.4
Rummelsburg,Lichtenberg,85.8,97.4,183.2,37.3
Hauptstraße,Lichtenberg,89.3,93.4,182.7,67.7
Samariterviertel,Friedrichshain-Kreuzberg,85.2,96.9,182.1,42.4
Blumenviertel,Neukölln,97.6,84.5,182.1,17.9
Zittauer Straße,Neukölln,95.9,86.0,181.9,20.1
Alexanderplatzviertel,Mitte,84.1,97.6,181.7,39.3
Reinickes Hof,Reinickendorf,94.1,87.3,181.4,78.2
Breitscheidplatz,Charlottenburg-Wilmersdorf,86.0,95.2,181.2,36.7
Späthsfelde,Treptow-Köpenick,88.4,91.9,180.3,6.5
Vogelviertel Nord,Neukölln,95.8,84.3,180.1,58.3
Güterbahnhof Grunewald,Charlottenburg-Wilmersdorf,89.7,90.4,180.1,22.5
Märchenland,Pankow,90.4,89.5,179.9,0.2
Feurigstraße,Tempelhof-Schöneberg,86.9,92.8,179.7,71.6
Charitéviertel,Mitte,81.7,97.2,178.9,7.7
Heinersdorf,Pankow,93.0,85.4,178.4,26.0
Fritz-Werner-Straße,Tempelhof-Schöneberg,91.3,86.9,178.2,63.8
Pankower Tor,Pankow,86.7,91.5,178.2,30.4
Alt-Mahlsdorf,Marzahn-Hellersdorf,96.9,81.0,177.9,5.9
Spandauer Straße,Spandau,92.1,85.1,177.2,51.8
Velodrom,Pankow,86.2,91.0,177.2,57.9
Alt-Marzahn,Marzahn-Hellersdorf,93.7,83.2,176.9,55.0
Vogelviertel Süd,Neukölln,93.4,83.0,176.4,53.0
Kosmos Viertel,Treptow-Köpenick,82.1,93.9,176.0,85.2
Rosenbecker Straße,Marzahn-Hellersdorf,84.7,91.1,175.8,80.1
An der Kappe,Spandau,91.9,83.9,175.8,49.3
